section,clause_number,clause_text,requirement_type
Interpretation ,2.2,"In these Regulations, a reference to pressure equipment being “in conformity with Part 2” means that— (a) pressure equipment is in conformity with the essential safety requirements; and (b) each relevant economic operator has complied, or is complying, with the obligations imposed on them under Part 2 of these Regulations which must be satisfied at or before the time at which they made the pressure equipment or assembly available on the market",must
"Exception for trade fairs, exhibitions and demonstrations  ",5," Nothing in these Regulations prevents the showing and use of pressure equipment and assemblies, which is not in conformity with Part 2, at a trade fair, exhibition or demonstration for the marketing of pressure equipment, provided that a visible sign clearly indicates— (a) that the pressure equipment or assembly is not in conformity with Part 2; and (b) that the pressure equipment or assembly must not be made available on the market or put into service until brought into conformity. Pressure equipment and assemblies subject to essential safety requirements    ",must
Pressure equipment and assemblies subject to essential safety requirements   ,6," The following pressure equipment must satisfy the essential safety requirements set out in Schedule 2— (a) vessels, except those referred to in subparagraph (b), for— (i) gases, liquefied gases, gases dissolved under pressure, vapours and also those liquids whose vapour pressure at the maximum allowable temperature is greater than 0.5 bar above normal atmospheric pressure (1013 mbar) within the following limits— (aa) for fluids in Group 1 with a volume greater than 1 L and a product of PS and V greater than 25 bar·L, or with a pressure PS greater than 200 bar; (bb) for fluids in Group 2, with a volume greater than 1 L and a product of PS and V greater than 50 bar·L or with a pressure PS greater than 1000 bar, and all portable extinguishers  and bottles for breathing apparatus; (ii) liquids having a vapour pressure at the maximum allowable temperature of not more than 0.5 bar above normal atmospheric pressure (1013 mbar) within the following limits— (aa) for fluids in Group 1 with a volume greater than 1 L and a product of PS and V greater than 200 bar·L, or with a pressure PS greater than 500 bar;  6(bb) for fluids in Group 2 with a pressure PS greater than 10 bar and a product of PS and V greater than 10 000 bar·L, or with a pressure PS greater than 1000 bar; (b) fired or otherwise heated pressure equipment with the risk of overheating intended for generation of steam or super-heated water at temperatures higher than 110°C having a volume greater than 2 L, and all pressure cookers; (c) piping intended for— (i) gases, liquefied gases, gases dissolved under pressure, vapours and those liquids whose vapour pressure at the maximum allowable temperature is greater than 0.5 bar above normal atmospheric pressure (1013 mbar) within the following limits— (aa) for fluids in Group 1 with a DN greater than 25; (bb) for fluids in Group 2 with a DN greater than 32 and a product of PS and DN greater than 1000 bar; (ii) liquids having a vapour pressure at the maximum allowable temperature of not more than  0.5 bar above normal atmospheric pressure (1013 mbar) within the following limits— (aa) for fluids in Group 1 with a DN greater than 25 and a product of PS and DN greater than 2000 bar; (bb) for fluids in Group 2 with a PS greater than 10 bar, a DN greater than 200 and a product of PS and DN greater than 5000 bar; (d) safety and pressure accessories intended for equipment covered by (a) to (c) above including where such equipment is incorporated into an assembly.  ",must
No Section Title,7.1,"The following assemblies which include at least one item of pressure equipment covered by regulation 6 must satisfy the essential safety requirements set out in Schedule 2— (a) assemblies intended  for generating steam or superheated water at a temperature higher than 110 °C comprising at least one item of fired or otherwise heated pressure equipment presenting a risk of overheating; (b) assemblies other than those referred to in subparagraph (a), if the manufacturer intends them to be made available on the market and put into service as assemblies",must
No Section Title,7.2,"By way of derogation from subparagraph (1)(a) above, assemblies intended for generating warm water at temperatures not greater than 110°C which are manually fed with solid fuels and have a PS·V greater than 50 bar·L must comply with only those essential safety requirements referred to in paragraphs 14, 15, 30, 33(2)(a) and 33(2)(d) of Schedule 2",must
Requirement for pressure equipment and assemblies to comply with sound engineering  practice  ,8.2,Pressure equipment and assemblies to which this regulation applies must be— (a) designed and manufactured in accordance with the sound engineering practice of a Member State in order to ensure safe use; and (b) accompanied by adequate instructions for use,must
Requirement for pressure equipment and assemblies to comply with sound engineering  practice  ,8.3,Pressure equipment or assemblies to which this regulation applies must not bear the CE marking referred to in Regulation 49 unless required to do so by other applicable EU legislation,must
Design and manufacture in accordance with essential safety requirements  ,9.1,"Before placing pressure equipment or an assembly referred to in regulation 6 or 7 on the market or using it for their own purposes, a manufacturer must ensure that it has been designed and manufactured in accordance with the essential safety requirements",must
Design and manufacture in accordance with essential safety requirements  ,9.2,"Before placing pressure equipment or an assembly referred to in regulation 8 on the market or using it for their own purposes, a manufacturer must ensure that it complies with regulation 8(2)",must
Technical documentation and conformity assessment ,10.1,"Before placing pressure equipment or an assembly referred to in regulation 6 or 7 on the market or using it for their own purposes, a manufacturer must— (a) classify it using the categories set out in Schedule 3 (classification of pressure equipment), according to an ascending level of hazard;  (b) determine the conformity assessment procedures to apply to the pressure equipment or assembly in accordance with regulation 41 (conformity assessment procedure); (c) carry out the relevant conformity assessment procedure in respect of that pressure equipment or assembly, or have such a procedure carried out; and (d) draw up the relevant technical documentation referred to in the conformity assessment module followed in accordance with regulation 41",must
EU declaration of conformity and CE marking ,11.1,"Where the conformity of pressure equipment or an assembly referred to in regulation 6 or 7 with the essential safety requirements has been demonstrated by a relevant conformity  8assessment procedure, the manufacturer must, before placing the pressure equipment or assembly on the market— (a) draw up a declaration of conformity in accordance with regulation 48 (EU declaration of conformity);  (b) affix the CE marking in accordance with regulation 49 (CE marking); and (c) where applicable, ensure that the identification number of the notified body is affixed in accordance with regulation 49",must
EU declaration of conformity and CE marking ,11.3,The manufacturer must keep the EU declaration of conformity up-to-date,must
EU declaration of conformity and CE marking ,11.4,"Where pressure equipment or an assembly is subject to more than one EU instrument requiring a declaration of conformity to be drawn up, the manufacturer must draw up a single declaration of conformity which— (a) identifies the EU instruments; and (b) includes references to the publication of those EU instruments in the Official Journal",must
Duty to keep technical documentation and EU declaration of conformity  ,12, A manufacturer must keep the technical documentation and the EU declaration of conformity drawn up in respect of pressure equipment or an assembly and make them available for inspection by the enforcing authorities for a period of 10 years beginning on the day on which the pressure equipment or assembly is placed on the market. Labelling of pressure equipment and assemblies  ,must
Labelling of pressure equipment and assemblies ,13.1,"Before placing pressure equipment or an assembly on the market, a manufacturer must— (a) ensure that it bears a type, batch or serial number or other element allowing its identification; and (b) ensure that it is marked with— (i) the name, registered trade name or registered trade mark of the manufacturer; and (ii) a single postal address at which the manufacturer can be contacted",must
